Index,Date,Open,High,Low,Close,Adj Close,Volume
NYA,31-12-1965,528.690002,528.690002,528.690002,528.690002,528.690002,0
NYA,03-01-1966,527.210022,527.210022,527.210022,527.210022,527.210022,0
NYA,04-01-1966,527.840027,527.840027,527.840027,527.840027,527.840027,0
NYA,05-01-1966,531.119995,531.119995,531.119995,531.119995,531.119995,0
NYA,06-01-1966,532.070007,532.070007,532.070007,532.070007,532.070007,0
NYA,07-01-1966,532.599976,532.599976,532.599976,532.599976,532.599976,0
NYA,10-01-1966,533.869995,533.869995,533.869995,533.869995,533.869995,0
NYA,11-01-1966,534.289978,534.289978,534.289978,534.289978,534.289978,0
NYA,12-01-1966,533.340027,533.340027,533.340027,533.340027,533.340027,0
NYA,13-01-1966,534.400024,534.400024,534.400024,534.400024,534.400024,0
NYA,14-01-1966,535.450012,535.450012,535.450012,535.450012,535.450012,0
NYA,17-01-1966,537.460022,537.460022,537.460022,537.460022,537.460022,0
NYA,18-01-1966,538.940002,538.940002,538.940002,538.940002,538.940002,0
NYA,19-01-1966,537.669983,537.669983,537.669983,537.669983,537.669983,0
NYA,20-01-1966,535.669983,535.669983,535.669983,535.669983,535.669983,0
NYA,21-01-1966,535.97998,535.97998,535.97998,535.97998,535.97998,0
NYA,24-01-1966,537.669983,537.669983,537.669983,537.669983,537.669983,0
NYA,25-01-1966,538.099976,538.099976,538.099976,538.099976,538.099976,0
NYA,26-01-1966,537.570007,537.570007,537.570007,537.570007,537.570007,0
NYA,27-01-1966,537.359985,537.359985,537.359985,537.359985,537.359985,0
NYA,28-01-1966,535.669983,535.669983,535.669983,535.669983,535.669983,0
NYA,31-01-1966,533.340027,533.340027,533.340027,533.340027,533.340027,0
NYA,01-02-1966,529.109985,529.109985,529.109985,529.109985,529.109985,0
NYA,02-02-1966,531.440002,531.440002,531.440002,531.440002,531.440002,0
NYA,03-02-1966,532.070007,532.070007,532.070007,532.070007,532.070007,0
NYA,04-02-1966,535.450012,535.450012,535.450012,535.450012,535.450012,0
NYA,07-02-1966,537.25,537.25,537.25,537.25,537.25,0
NYA,08-02-1966,536.830017,536.830017,536.830017,536.830017,536.830017,0
NYA,09-02-1966,539.890015,539.890015,539.890015,539.890015,539.890015,0
NYA,10-02-1966,538.409973,538.409973,538.409973,538.409973,538.409973,0
NYA,11-02-1966,538.309998,538.309998,538.309998,538.309998,538.309998,0
NYA,14-02-1966,537.780029,537.780029,537.780029,537.780029,537.780029,0
NYA,15-02-1966,535.450012,535.450012,535.450012,535.450012,535.450012,0
NYA,16-02-1966,535.349976,535.349976,535.349976,535.349976,535.349976,0
NYA,17-02-1966,532.48999,532.48999,532.48999,532.48999,532.48999,0
NYA,18-02-1966,531.440002,531.440002,531.440002,531.440002,531.440002,0
NYA,21-02-1966,528.26001,528.26001,528.26001,528.26001,528.26001,0
NYA,23-02-1966,525.940002,525.940002,525.940002,525.940002,525.940002,0
NYA,24-02-1966,522.450012,522.450012,522.450012,522.450012,522.450012,0
NYA,25-02-1966,523.929993,523.929993,523.929993,523.929993,523.929993,0
NYA,28-02-1966,524.559998,524.559998,524.559998,524.559998,524.559998,0
